0.100,7877,60850,1907,33798
0.200,7832,60622,1911,34015
0.300,7818,60768,1910,33860
0.400,7903,60712,1866,33974
0.500,7836,61062,1869,33956
0.600,7854,61233,1881,33941
0.700,7878,61349,1897,33840
0.800,7830,62161,1877,33755
0.900,7811,62636,1828,33851
1.000,7732,63798,1863,33864
1.100,7577,65718,1876,33567
1.200,7251,69766,1874,33453
1.300,6843,76985,1885,33471
1.400,6247,85435,1882,33576
1.500,5528,94203,1968,34118
1.600,4826,101262,2057,35193
1.700,4343,106343,2193,36505
1.800,4065,109204,2364,37699
1.900,3960,110475,2525,38785
2.000,4084,109295,2724,39461
2.100,4318,107184,2921,39876
2.200,4613,104215,3040,40241
2.300,4961,100063,3179,40383
2.400,5307,95895,3318,40514
2.500,5744,91750,3430,40708
2.600,6127,87215,3445,40700
2.700,6399,82944,3523,40658
2.800,6615,78709,3530,40825
2.900,6914,74906,3595,40714
3.000,7153,71625,3516,40720
3.100,7360,68465,3532,40751
3.200,7573,65439,3553,40763
3.300,7761,62690,3505,40775
3.400,7943,60406,3483,40707
3.500,8020,57987,3482,40743
3.600,8150,55938,3414,40792
3.700,8315,53947,3464,40908
3.800,8303,51871,3430,40938
3.900,8455,50156,3415,40748
4.000,8500,48922,3427,40696
4.100,8601,47588,3375,40872
4.200,8740,46380,3347,40773
4.300,8807,45162,3353,40664
4.400,8775,43839,3323,40723
4.500,8766,42542,3301,40867
4.600,8886,41465,3305,40852
4.700,8981,40451,3267,40769
4.800,9003,39630,3311,40879
4.900,9063,38569,3238,40781
5.000,9033,38098,3269,40678
5.100,9093,37171,3261,40597
5.200,9106,36325,3262,40633
5.300,9163,35600,3219,40657
5.400,9209,34798,3199,40536
5.500,9249,34274,3222,40467
5.600,9265,33468,3201,40543
5.700,9266,33007,3192,40813
5.800,9265,32493,3205,40888
5.900,9262,32074,3183,40654
6.000,9378,31552,3168,40614
6.100,9299,31150,3172,40645
6.200,9341,30539,3194,40610
6.300,9465,30224,3151,40683
6.400,9475,29695,3206,40702
6.500,9462,29330,3119,40681
6.600,9450,28916,3132,40741
6.700,9520,28425,3126,40620
6.800,9393,28183,3107,40682
6.900,9603,27901,3132,40642
7.000,9537,27652,3114,40591
7.100,9536,27275,3076,40676
7.200,9563,26971,3083,40721
7.300,9566,26479,3109,40713
7.400,9580,26297,3096,40571
7.500,9631,25994,3063,40472
7.600,9667,25795,3021,40406
7.700,9753,25527,3063,40661
7.800,9645,25282,3062,40639
7.900,9631,24949,3074,40661
8.000,9547,24823,3063,40659
8.100,9682,24694,3053,40573
8.200,9572,24426,3046,40554
8.300,9677,24057,3042,40452
8.400,9736,24176,2988,40577
8.500,9737,23769,3030,40524
8.600,9682,23548,3068,40442
8.700,9703,23333,3006,40364
8.800,9697,23016,3000,40427
8.900,9676,23098,3010,40383
9.000,9766,22838,3003,40373
9.100,9752,22590,2999,40346
9.200,9730,22385,3021,40288
9.300,9716,22079,3013,40451
9.400,9705,22007,3034,40552
9.500,9788,21770,3025,40521
9.600,9821,21867,3014,40544
9.700,9781,21658,2988,40601
9.800,9829,21612,3001,40545
9.900,9827,21374,2987,40585
10.000,9832,21297,2966,40554
